Paziente :
Esame :
Occhio : False
--------------------------------------------------------
Note : 
--------------------------------------------------------
SIM-k : 
K1 = 37,87 D @ 1°
K2 = 40,28 D @ 91°
--------------------------------------------------------
Diametro Corneale = 13
Decentramento Pupillare Orizzontale = 0
Decentramento Pupillare Verticale = 0
Diametro Pupillare Medio = 4
Potere Pupillare Medio = 8,67 D
--------------------------------------------------------
sph -1000 cyl -1000 ax -1000 @ -1000
--------------------------------------------------------
Dato misurato : Elevazioni
N° Anelli : 24
N° Semimeridiani : 256
--------------------------------------------------------
0,228995550032197
0,228650423245183
0,228308109086249
0,228009704555642
0,22779233960789
0,227685247022362
0,227706830218972
0,227863071668308
0,228146365169225
0,228536555602953
0,229002443690692
0,229506306210478
0,230005802443094
0,230459808291741
0,230831776819475
0,231093742898498
0,231228928739963
0,231233193259465
0,231115709140585
0,230897013267602
0,230606852619606
0,230280203226116
0,229952950628904
0,229657641042419
0,229523891789986
0,229360869115949
0,229276246391948
0,229265935100443
0,229318007271118
0,22941626931096
0,229543167476182
0,229683609296753
0,229826866722166
0,229968849644448
0,230111814603443
0,230263623290887
0,230435535937116
0,230638950357383
0,230882472686157
0,231168721785785
0,231492450127566
0,231839492547391
0,232187755298711
0,232509620293837
0,232774926253584
0,23295520667263
0,233027513036078
0,23297783138296
0,232821569558264
0,232532320384618
0,232147323159428
0,231695417260388
0,231210554073945
0,230727422662968
0,23028892085157
0,229896174137872
0,229573701335296
0,229324297157266
0,229140561469438
0,229007245180986
0,228904950360292
0,228813948941309
0,22871828740979
0,228608867359251
0,228485092302878
0,228355227256309
0,228234782269422
0,228143717862752
0,228102880926582
0,228129404131818
0,228233552253199
0,228415418442602
0,228663750667991
0,228955979750864
0,229260733705615
0,229540734030121
0,22975778108532
0,229877631313707
0,229874440622507
0,229734830202765
0,2294600525692
0,229066240362002
0,228583357334299
0,22805150841001
0,227516699742724
0,227025723475132
0,226621429587026
0,226338319141842
0,226199738008947
0,226216385255582
0,226386261279757
0,226696554310646
0,227125653197878
0,227646965041031
0,228231830266678
0,228823969854179
0,22945017770435
0,230067433057989
0,230661112811908
0,231221187451726
0,231740589978501
0,232213693490023
0,232635025578045
0,232998111212072
0,233295442165356
0,23351862101488
0,233659860391656
0,233713135784654
0,233676192052789
0,233551746894294
0,233348292432024
0,233079987936888
0,232766354868106
0,232430211920874
0,232096091851844
0,231787993118981
0,23152722918912
0,231330411507973
0,23120859325822
0,231166301735537
0,230539409878565
0,230570573942668
0,230665852836227
0,230810434508946
0,230985720783903
0,231170772032563
0,23187511273478
0,232021314688073
0,232111724819218
0,23213479222192
0,232083842912054
0,231957959772913
0,231762031128391
0,23150661632652
0,231206736954463
0,230880802767422
0,230548252460342
0,230227428918218
0,22993331731002
0,229675679820722
0,229457835675074
0,229276842634507
0,229123661489523
0,228985272655969
0,228846957155451
0,228694267050463
0,228516072260837
0,22830540760958
0,2280608561273
0,227786049160479
0,227488246879689
0,227176290441757
0,226858089112402
0,227010717730493
0,226650568457187
0,226285362486488
0,22590300021176
0,225487499641328
0,225022248840561
0,224493568956769
0,22389360424727
0,223223010372579
0,222491848390648
0,221719045746965
0,220934375468455
0,220156995355992
0,219423945817688
0,21876134539237
0,218188365529266
0,217704726593134
0,217328271385603
0,21704207614527
0,21683006972844
0,216672701165387
0,216542434775476
0,216416774529822
0,216327832396982
0,216251365594173
0,216194521812494
0,216170062610532
0,216193100670234
0,216277289451933
0,216431176271456
0,216655551031775
0,216941665174116
0,217271454163414
0,217619436518255
0,21795578737134
0,218250709846401
0,218478970999257
0,218623753699491
0,218679523572711
0,21865298582308
0,218562166182721
0,218433914870805
0,218299709167169
0,218191378427506
0,218136508308393
0,218155024472348
0,218256921215582
0,218441720399598
0,218699251869149
0,21901248320459
0,219360656813626
0,219721802712885
0,22007729772949
0,220413846639661
0,220724132343082
0,22100708000405
0,221266112662359
0,221506595935562
0,221734333969601
0,221953398806996
0,222163557280078
0,222360534859626
0,222536370350329
0,222680699689431
0,222784196546886
0,222840398676167
0,222847736319147
0,222810448536099
0,222739447070452
0,22265094732478
0,222564273698618
0,22249949487093
0,222474399042096
0,222501344280576
0,222586074296776
0,222726427933262
0,222912964211131
0,22313066626335
0,223361463500014
0,223587105708035
0,223792218875526
0,223967035613801
0,224108854224097
0,224222899715488
0,224321747766389
0,224423850239312
0,224550686577904
0,224724129745384
0,224962722839562
0,225278924869021
0,225676971426914
0,226151158305843
0,226685854271324
0,227256708484571
0,227832732512794
0,228379353298102
0,228862210101044
0,229250421389968
0,22952016118188
0,229657186002887
0,229658629357243
0,229533557960832
0,229302438516176
0,518665413995291
0,518575280508188
0,518350249465719
0,518000159110361
0,517541156958624
0,516995602611105
0,516391291990869
0,515759460474714
0,515131783588998
0,514537249219939
0,513997265315128
0,513525818856911
0,513123264046494
0,512778503840302
0,512469537304609
0,512166204930769
0,511834565095899
0,511441053559731
0,510958142585794
0,510366856474918
0,509661168382352
0,508846956554315
0,507941749547525
0,506971149688121
0,506229174798821
0,50522172516677
0,50423261845509
0,503279463760824
